Merchant Funding Currency,Refund Rate,Transaction Currency,Party ID,Purchase Rate,Valid To,Issue Date,Merchant Currency Description,Valid From,Currency Description
,,,PO4041702830,,030124,020124,,030124,
USD,3.6726000,AED,,3.7646200,,,US Dollar,,UAE Dirham
USD,808.4751000,ARS,,831.5166404,,,US Dollar,,Argentine Peso
USD,1.4649868,AUD,,1.5069597,,,US Dollar,,Australian Dollar
USD,109.3000000,BDT,,113.1350000,,,US Dollar,,Bangladeshi Taka
USD,1.7722000,BGN,,1.8239419,,,US Dollar,,Bulgarian Lev
USD,0.3769700,BHD,,0.3864353,,,US Dollar,,Bahraini Dinar
USD,1.3219000,BND,,1.3596770,,,US Dollar,,Brunei Dollar
USD,6.9100000,BOB,,7.1069350,,,US Dollar,,Bolivian Boliviano
USD,4.8522000,BRL,,4.9904877,,,US Dollar,,Brazilian Real
USD,1.3243000,CAD,,1.3621454,,,US Dollar,,Canadian Dollar
USD,0.8454000,CHF,,0.8695968,,,US Dollar,,Swiss Franc
USD,875.0100000,CLP,,908.1655000,,,US Dollar,,Chilean Peso
USD,7.1348000,CNY,,7.3134775,,,US Dollar,,Chinese Yuan Renminbi
USD,3865.8000000,COP,,3975.9753000,,,US Dollar,,Colombian Peso
USD,520.9600000,CRC,,537.9466400,,,US Dollar,,Costa Rican Colon
USD,22.3821000,CZK,,23.0354174,,,US Dollar,,Czech Koruna
USD,6.7591000,DKK,,6.9527629,,,US Dollar,,Danish Krone
USD,30.8699000,EGP,,31.8114022,,,US Dollar,,Egyptian Pound
USD,11.9000000,GHS,,12.3625700,,,US Dollar,,Ghana Cedi
USD,7.8143000,HKD,,8.0099650,,,US Dollar,,Hong Kong Dollar
USD,6.8309000,HRK,,7.0261978,,,US Dollar,,Croatian Kuna
USD,346.8200000,HUF,,357.1054850,,,US Dollar,,Hungarian Forint
USD,15462.0000000,IDR,,15912.9520000,,,US Dollar,,Indonesian Rupiah
USD,3.6268000,ILS,,3.7321180,,,US Dollar,,New Israeli Sheqel
USD,83.3325000,INR,,85.7162185,,,US Dollar,,Indian Rupee
USD,135.9900000,ISK,,140.0817000,,,US Dollar,,Iceland Krona
USD,0.7085000,JOD,,0.7290825,,,US Dollar,,Jordanian Dinar
USD,141.5200000,JPY,,145.5738900,,,US Dollar,,Japanese Yen
USD,156.5400000,KES,,162.2150200,,,US Dollar,,Kenyan Shilling
USD,4087.2095000,KHR,,4203.6949708,,,US Dollar,,Cambodian Riel
USD,1308.7400000,KRW,,1346.4093500,,,US Dollar,,Korean Won
USD,0.3072400,KWD,,0.3160992,,,US Dollar,,Kuwaiti Dinar
USD,20452.2700000,LAK,,21246.1461850,,,US Dollar,,Laotian Kip
USD,320.6100000,LKR,,331.4032700,,,US Dollar,,Sri Lanka Rupee
USD,9.8929000,MAD,,10.1799902,,,US Dollar,,Moroccan Dirham
USD,2100.4500000,MMK,,2160.3128250,,,US Dollar,,Myanamar Kyat
USD,16.9188000,MXN,,17.4066426,,,US Dollar,,Mexican Peso
USD,4.5995000,MYR,,4.7336713,,,US Dollar,,Malaysian Ringgit
USD,891.1700000,NGN,,917.6585550,,,US Dollar,,Nigerian Naira
USD,10.1595000,NOK,,10.4557310,,,US Dollar,,Norwegian Krone
USD,133.3280000,NPR,,137.1443040,,,US Dollar,,Nepalese Rupee
USD,1.5857913,NZD,,1.6312450,,,US Dollar,,New Zealand Dollar
USD,0.3849700,OMR,,0.3946250,,,US Dollar,,Rial Omani
USD,3.7070000,PEN,,3.8214946,,,US Dollar,,Peruvian Nuevo Sol
USD,55.5050000,PHP,,57.2925925,,,US Dollar,,Philippine Peso
USD,281.2500000,PKR,,289.2656250,,,US Dollar,,Pakistan Rupee
USD,3.9347000,PLN,,4.0489988,,,US Dollar,,Polish Zloty
USD,7275.0000000,PYG,,7482.3375000,,,US Dollar,,Paraguayan Guarani
USD,3.6415000,QAR,,3.7325375,,,US Dollar,,Qatari Rial
USD,4.5056000,RON,,4.6379179,,,US Dollar,,New Romanian Leu
USD,106.2500000,RSD,,109.3138140,,,US Dollar,,Serbian Dinar
USD,1270.7060000,RWF,,1306.9211210,,,US Dollar,,Rwanda Franc
USD,3.7501000,SAR,,3.8441600,,,US Dollar,,Saudi Riyal
USD,10.0762000,SEK,,10.3678971,,,US Dollar,,Swedish Krona
USD,34.1810000,THB,,35.1705860,,,US Dollar,,Thai Baht
USD,29.6996000,TRY,,30.5566322,,,US Dollar,,Turkish Lira
USD,30.8040000,TWD,,31.7086550,,,US Dollar,,New Taiwan Dollar
USD,2511.3100000,TZS,,2582.8823350,,,US Dollar,,Tanzanian Shilling
USD,38.0890000,UAH,,39.2078599,,,US Dollar,,Ukraine Hryvnia
USD,3787.0000000,UGX,,3900.1028550,,,US Dollar,,Uganda Shilling
USD,24334.0000000,VND,,25030.6045000,,,US Dollar,,Vietnamese Dong
USD,18.3281000,ZAR,,18.8597074,,,US Dollar,,South African Rand
,,,PO4041727841,,030124,020124,,030124,
GBP,1030.8057860,ARS,,1060.3500403,,,Pound Sterling,,Argentine Peso
