MERCHANT_ID,PAYMENT_METHOD,EVENT_TYPE,EVENT_COUNT,AGGREGATE_AMOUNT,CURRENCY
,,WIRE_FEE,1.0,-30.0,USD
,,FX_SALE,1.0,220509.21,PLN
,,FX_PURCHASE,1.0,54430.84,USD
,,FX_FEE,1.0,-1006.97,USD
,,FORWARDED_BALANCE,1.0,-0.7,EUR
TAZAPAYLIVEBLUECUTLIM3392973377,,MERCHANT_SETUP_FEE,1.0,-5.0,USD
TAZAPAYLIVECDKLLC4345246589,BLIK,TRANSACTION,2771.0,227154.11,PLN
TAZAPAYLIVECDKLLC4345246589,BLIK,REFUND,27.0,-2994.71,PLN
TAZAPAYLIVECDKLLC4345246589,BLIK,ACQUIRING_FEE,2975.0,-356.46,PLN
TAZAPAYLIVECDKLLC4345246589,BLIK,DISCOUNT_FEE,2771.0,-3293.7342,PLN
TAZAPAYLIVECONEKALIMI5781667686,,MERCHANT_SETUP_FEE,1.0,-5.0,USD
TAZAPAYLIVEDANCOMTOUR2785466339,,MERCHANT_SETUP_FEE,1.0,-5.0,USD
TAZAPAYLIVESPAYCOMPAN4043632118,Giropay,ACQUIRING_FEE,2.0,-0.28,EUR
TAZAPAYLIVETHRILLOPHI9279386345,Giropay,ACQUIRING_FEE,3.0,-0.42,EUR
TAZAPAYLIVETHRILLOPHI9279386345,Alipay,TRANSACTION,1.0,53.65,USD
TAZAPAYLIVETHRILLOPHI9279386345,Alipay,REFUND,1.0,-86.22,USD
TAZAPAYLIVETHRILLOPHI9279386345,Alipay,ACQUIRING_FEE,1.0,-0.2,USD
TAZAPAYLIVETHRILLOPHI9279386345,Alipay,DISCOUNT_FEE,1.0,-1.0193,USD
TAZAPAYLIVEVIRTUALASS1379357808,Alipay,TRANSACTION,2.0,21.42,USD
TAZAPAYLIVEVIRTUALASS1379357808,Alipay,REFUND,1.0,-10.7,USD
TAZAPAYLIVEVIRTUALASS1379357808,Alipay,ACQUIRING_FEE,1.0,-0.2,USD
TAZAPAYLIVEVIRTUALASS1379357808,Alipay,DISCOUNT_FEE,2.0,-0.4069,USD
TAZAPAYLIVEYAMAMOTOEC1599162183,Alipay,TRANSACTION,2.0,1390.3,USD
TAZAPAYLIVEYAMAMOTOEC1599162183,Alipay,REFUND,1.0,-614.9,USD
TAZAPAYLIVEYAMAMOTOEC1599162183,Alipay,ACQUIRING_FEE,1.0,-0.2,USD
TAZAPAYLIVEYAMAMOTOEC1599162183,Alipay,DISCOUNT_FEE,2.0,-26.4157,USD
,,,,,
SETTLEMENT_DATE,2024-01-24,,,,
RECORD_COUNT,26,,,,
CHECKSUM_AGGREGATE_AMOUNT,495120.9939,,,,
FX_CONVERSION_RATE_PLN_USD,0.246842,,,,
FX_FEE_RATE_PLN_USD,0.018500,,,,
